#obliquity variation, mean global temp variation, ice fraction variation, global albedo variation, ice distribution (free, caps, belt, snowball), max f_ice, min_fice
0,0,60.19,0.00,0.000,0.000,0,0,0.000,0.000
0,20,35.95,3.65,0.152,0.030,0,1,0.152,0.000
0,21,36.27,3.65,0.152,0.030,0,1,0.152,0.000
0,1,60.55,40.00,1.000,0.300,-1,-1,0.735,0.735
0,2,60.92,40.00,1.000,0.300,3,3,0.921,0.921
0,7,62.86,40.00,1.000,0.300,3,3,1.000,1.000
0,8,63.28,40.00,1.000,0.300,3,3,1.000,1.000
0,3,61.29,40.00,1.000,0.300,3,3,1.000,1.000
0,17,67.36,40.00,1.000,0.300,3,3,1.000,1.000
0,5,62.07,40.00,1.000,0.300,3,3,1.000,1.000
0,13,65.47,40.00,1.000,0.300,3,3,1.000,1.000
0,14,65.93,40.00,1.000,0.300,3,3,1.000,1.000
0,12,65.01,40.00,1.000,0.300,3,3,1.000,1.000
0,19,68.40,40.00,1.000,0.300,3,3,1.000,1.000
0,4,61.66,0.36,0.000,0.002,3,3,1.000,1.000
0,15,66.41,40.00,1.000,0.300,3,3,1.000,1.000
0,9,63.71,40.00,1.000,0.300,3,3,1.000,1.000
0,6,62.46,40.00,1.000,0.300,3,3,1.000,1.000
0,16,66.89,40.00,1.000,0.300,3,3,1.000,1.000
0,11,64.55,40.00,1.000,0.300,3,3,1.000,1.000
0,10,64.13,40.00,1.000,0.300,3,3,1.000,1.000
0,36,33.25,3.26,0.060,0.026,0,1,0.060,0.000
0,29,29.77,3.30,0.073,0.027,0,1,0.073,0.000
0,34,42.86,3.57,0.133,0.030,0,1,0.133,0.000
0,28,42.40,3.68,0.152,0.030,0,1,0.152,0.000
0,23,62.71,1.54,0.026,0.003,2,2,0.351,0.325
0,18,67.89,40.00,1.000,0.300,3,3,1.000,1.000
0,22,70.86,40.00,1.000,0.300,3,3,1.000,1.000
0,24,56.51,1.65,0.020,0.003,2,2,0.351,0.331
0,26,60.09,0.71,0.013,0.002,2,2,0.338,0.325
0,25,55.08,2.14,0.026,0.002,2,2,0.364,0.338
0,31,65.59,2.28,0.026,0.002,2,2,0.358,0.331
0,32,56.49,1.35,0.020,0.003,2,2,0.351,0.331
0,35,59.65,0.70,0.013,0.002,2,2,0.344,0.331
0,33,53.63,2.04,0.026,0.003,2,2,0.358,0.331
0,37,68.60,3.16,0.040,0.004,2,2,0.384,0.344
0,44,63.83,1.36,0.020,0.002,2,2,0.344,0.325
0,43,60.02,0.70,0.020,0.003,2,2,0.351,0.331
0,45,56.64,1.11,0.020,0.003,2,2,0.351,0.331
0,27,71.40,40.00,1.000,0.300,3,3,1.000,1.000
0,40,71.65,40.00,1.000,0.300,3,3,1.000,1.000
0,30,76.75,40.00,1.000,0.300,3,3,1.000,1.000
0,39,82.88,40.00,1.000,0.300,3,3,1.000,1.000
0,41,83.36,40.00,1.000,0.300,3,3,1.000,1.000
0,42,82.65,40.00,1.000,0.300,3,3,1.000,1.000
0,38,77.08,40.00,1.000,0.300,3,3,1.000,1.000
0,47,87.77,40.00,1.000,0.300,3,3,1.000,1.000
0,46,80.62,40.00,1.000,0.300,3,3,1.000,1.000
0,48,88.09,40.00,1.000,0.300,3,3,1.000,1.000
0,49,75.64,40.00,1.000,0.300,3,3,1.000,1.000
0,50,83.61,40.00,1.000,0.300,3,3,1.000,1.000
0,54,91.68,40.00,1.000,0.300,3,3,1.000,1.000
0,52,88.94,40.00,1.000,0.300,3,3,1.000,1.000
0,55,86.45,40.00,1.000,0.300,3,3,1.000,1.000
0,51,89.76,40.00,1.000,0.300,3,3,1.000,1.000
0,53,88.12,40.00,1.000,0.300,3,3,1.000,1.000
0,57,93.04,40.00,1.000,0.300,3,3,1.000,1.000
0,56,85.62,40.00,1.000,0.300,3,3,1.000,1.000
0,58,83.95,40.00,1.000,0.300,3,3,1.000,1.000
0,59,83.12,40.00,1.000,0.300,3,3,1.000,1.000
0,61,81.47,40.00,1.000,0.300,3,3,1.000,1.000
0,60,82.30,40.00,1.000,0.300,3,3,1.000,1.000
0,62,80.66,40.00,1.000,0.300,3,3,1.000,1.000
0,63,79.85,40.00,1.000,0.300,3,3,1.000,1.000
0,65,78.26,40.00,1.000,0.300,3,3,1.000,1.000
0,66,77.47,40.00,1.000,0.300,3,3,1.000,1.000
0,67,76.68,40.00,1.000,0.300,3,3,1.000,1.000
0,68,75.91,40.00,1.000,0.300,3,3,1.000,1.000
0,64,79.05,40.00,1.000,0.300,3,3,1.000,1.000
0,69,75.15,40.00,1.000,0.300,3,3,1.000,1.000
0,70,89.55,40.00,1.000,0.300,3,3,1.000,1.000
