#obliquity variation, mean global temp variation, ice fraction variation, global albedo variation, ice distribution (free, caps, belt, snowball), max f_ice, min_fice
0,0,20.07,0.00,0.000,0.000,0,0,0.000,0.000
0,20,22.52,1.33,0.026,0.002,2,2,0.325,0.298
0,8,20.42,0.27,0.013,0.002,2,2,0.364,0.351
0,19,20.96,0.23,0.013,0.002,2,2,0.364,0.351
0,15,20.76,0.22,0.013,0.001,2,2,0.358,0.344
0,18,20.91,0.26,0.013,0.002,2,2,0.364,0.351
0,10,20.51,0.32,0.020,0.002,2,2,0.364,0.344
0,13,20.66,0.42,0.020,0.002,2,2,0.364,0.344
0,11,20.56,0.30,0.020,0.002,2,2,0.364,0.344
0,14,20.71,0.23,0.013,0.002,2,2,0.364,0.351
0,12,20.61,0.23,0.013,0.002,2,2,0.358,0.344
0,16,20.81,0.25,0.013,0.002,2,2,0.358,0.344
0,7,20.37,0.32,0.020,0.002,2,2,0.371,0.351
0,9,20.47,0.44,0.026,0.002,2,2,0.371,0.344
0,17,20.86,0.23,0.013,0.001,2,2,0.364,0.351
0,5,20.28,0.41,0.020,0.002,2,2,0.391,0.371
0,4,20.24,0.61,0.020,0.002,2,2,0.411,0.391
0,6,20.33,0.28,0.013,0.001,2,2,0.377,0.364
0,3,20.20,0.65,0.020,0.002,2,2,0.470,0.450
0,2,20.15,1.11,0.020,0.002,-1,-1,0.517,0.497
0,35,25.65,2.29,0.205,0.006,2,2,0.298,0.093
0,33,24.88,1.72,0.046,0.002,2,2,0.318,0.272
0,21,22.14,0.84,0.026,0.002,2,2,0.338,0.311
0,32,23.78,1.11,0.020,0.002,2,2,0.331,0.311
0,41,29.85,2.96,0.000,0.027,0,0,0.000,0.000
0,34,23.85,1.04,0.026,0.002,2,2,0.338,0.311
0,22,21.53,0.42,0.020,0.002,2,2,0.358,0.338
0,31,22.49,0.53,0.020,0.002,2,2,0.351,0.331
0,1,20.11,0.22,0.000,0.001,-1,-1,0.735,0.735
0,30,21.28,0.24,0.013,0.001,2,2,0.364,0.351
0,27,19.34,0.23,0.013,0.001,2,2,0.364,0.351
0,26,19.34,0.22,0.013,0.001,2,2,0.364,0.351
0,28,19.66,0.24,0.026,0.001,2,2,0.371,0.344
0,29,20.32,0.22,0.013,0.001,2,2,0.364,0.351
0,24,20.13,0.18,0.007,0.001,2,2,0.358,0.351
0,23,20.81,0.21,0.013,0.001,2,2,0.364,0.351
0,25,19.62,0.23,0.013,0.001,2,2,0.364,0.351
0,36,19.97,0.21,0.013,0.001,2,2,0.364,0.351
0,37,25.58,1.82,0.060,0.002,2,2,0.318,0.258
0,38,22.73,0.48,0.020,0.002,2,2,0.358,0.338
0,39,21.17,0.22,0.013,0.001,2,2,0.364,0.351
0,40,23.76,0.74,0.020,0.002,2,2,0.344,0.325
0,42,23.31,0.52,0.020,0.002,2,2,0.351,0.331
0,44,17.52,0.32,0.020,0.002,2,2,0.351,0.331
0,47,16.56,0.62,0.020,0.002,2,2,0.338,0.318
0,46,17.11,0.43,0.020,0.002,2,2,0.351,0.331
0,49,25.42,0.97,0.026,0.002,2,2,0.344,0.318
0,45,19.64,0.23,0.013,0.001,2,2,0.371,0.358
0,48,23.80,0.51,0.020,0.002,2,2,0.351,0.331
0,43,19.45,0.20,0.013,0.001,2,2,0.364,0.351
0,56,23.31,0.34,0.026,0.002,2,2,0.364,0.338
0,53,23.08,0.32,0.020,0.002,2,2,0.364,0.344
0,55,23.24,0.35,0.013,0.002,2,2,0.358,0.344
0,54,23.16,0.32,0.026,0.002,2,2,0.364,0.338
0,51,22.93,0.28,0.013,0.002,2,2,0.358,0.344
0,52,23.00,0.36,0.013,0.002,2,2,0.358,0.344
0,50,18.47,0.26,0.013,0.001,2,2,0.364,0.351
0,57,23.39,0.32,0.013,0.002,2,2,0.358,0.344
0,59,23.56,0.33,0.020,0.002,2,2,0.358,0.338
0,74,46.20,7.37,0.152,0.044,2,0,0.152,0.000
0,71,36.46,7.47,0.179,0.040,2,0,0.179,0.000
0,75,43.79,7.82,0.166,0.045,2,0,0.166,0.000
0,58,23.47,0.35,0.020,0.002,2,2,0.358,0.338
0,60,23.64,0.33,0.026,0.002,2,2,0.364,0.338
0,61,23.73,0.34,0.026,0.002,2,2,0.364,0.338
0,81,54.33,8.08,0.172,0.045,1,2,0.172,0.000
0,62,23.81,0.36,0.020,0.002,2,2,0.358,0.338
0,70,32.44,2.07,0.053,0.003,2,2,0.325,0.272
0,63,23.90,0.37,0.020,0.002,2,2,0.364,0.344
0,64,23.99,0.33,0.020,0.002,2,2,0.364,0.344
0,73,29.28,1.14,0.033,0.002,2,2,0.344,0.311
0,65,24.08,0.34,0.020,0.002,2,2,0.358,0.338
0,66,24.17,0.36,0.026,0.002,2,2,0.364,0.338
0,67,24.26,0.40,0.020,0.002,2,2,0.358,0.338
0,68,24.36,0.41,0.026,0.002,2,2,0.364,0.338
0,69,24.45,0.36,0.020,0.002,2,2,0.358,0.338
0,77,33.45,1.96,0.046,0.002,2,2,0.331,0.285
0,72,24.98,0.40,0.020,0.002,2,2,0.351,0.331
0,76,20.38,0.24,0.020,0.001,2,2,0.371,0.351
0,79,29.22,0.98,0.020,0.002,2,2,0.344,0.325
0,78,20.66,0.21,0.020,0.001,2,2,0.371,0.351
0,97,45.46,6.77,0.133,0.044,2,1,0.133,0.000
0,87,70.09,7.51,0.265,0.044,1,2,0.265,0.000
1,0,18.24,0.00,0.000,0.000,0,0,0.000,0.000
0,100,15.44,1.37,0.000,0.013,0,0,0.000,0.000
0,82,18.48,0.22,0.013,0.001,2,2,0.371,0.358
0,80,18.44,0.25,0.020,0.001,2,2,0.371,0.351
0,83,18.23,0.20,0.013,0.001,2,2,0.364,0.351
0,84,18.31,0.22,0.013,0.001,2,2,0.371,0.358
0,85,21.48,0.21,0.013,0.001,2,2,0.364,0.351
0,86,21.50,0.20,0.020,0.001,2,2,0.371,0.351
0,90,28.96,0.80,0.026,0.002,2,2,0.351,0.325
0,89,26.33,0.45,0.020,0.002,2,2,0.358,0.338
0,93,26.85,0.45,0.020,0.002,2,2,0.358,0.338
0,92,25.30,0.32,0.026,0.002,2,2,0.364,0.338
0,91,21.95,0.24,0.020,0.001,2,2,0.364,0.344
0,94,19.88,0.18,0.007,0.001,2,2,0.358,0.351
0,96,15.76,0.23,0.013,0.001,2,2,0.358,0.344
0,95,22.31,0.22,0.013,0.001,2,2,0.364,0.351
0,99,19.75,0.22,0.020,0.001,2,2,0.371,0.351
1,1,18.50,2.43,0.020,0.007,1,1,0.371,0.351
1,2,18.75,3.30,0.060,0.012,1,1,0.391,0.331
1,3,19.02,2.27,0.033,0.008,1,1,0.384,0.351
1,4,19.28,2.68,0.040,0.010,1,1,0.384,0.345
1,6,19.83,2.02,0.033,0.008,1,1,0.378,0.345
1,5,19.55,2.28,0.033,0.009,1,1,0.378,0.345
1,8,20.41,2.12,0.026,0.008,1,1,0.371,0.345
1,7,20.12,2.14,0.026,0.008,1,1,0.371,0.345
1,9,20.71,2.32,0.040,0.009,1,1,0.371,0.331
1,10,21.03,2.35,0.040,0.009,1,1,0.371,0.331
1,11,21.34,2.33,0.040,0.009,1,1,0.371,0.331
1,12,21.66,2.44,0.040,0.009,1,1,0.371,0.331
1,13,22.00,2.63,0.040,0.010,1,1,0.371,0.331
1,14,22.34,2.52,0.040,0.010,1,1,0.364,0.325
1,15,22.68,2.59,0.040,0.010,1,1,0.364,0.325
1,17,23.41,2.70,0.046,0.011,1,1,0.364,0.318
1,16,23.04,2.66,0.046,0.011,1,1,0.364,0.318
1,18,23.80,2.78,0.053,0.011,1,1,0.364,0.311
1,19,24.17,2.83,0.060,0.011,1,1,0.364,0.305
0,88,61.02,40.00,1.000,0.300,3,3,1.000,1.000
1,21,24.99,3.02,0.060,0.013,1,1,0.358,0.298
1,22,25.39,3.13,0.066,0.013,1,1,0.358,0.292
0,98,47.76,40.00,1.000,0.300,3,3,1.000,1.000
1,23,25.82,3.27,0.066,0.013,1,1,0.351,0.285
1,20,24.57,2.86,0.053,0.012,1,1,0.358,0.305
1,24,26.26,3.39,0.066,0.014,1,1,0.351,0.285
1,25,26.71,3.40,0.073,0.014,1,1,0.351,0.278
1,33,30.74,3.98,0.119,0.015,1,1,0.325,0.205
1,26,27.17,3.41,0.079,0.013,1,1,0.351,0.272
1,34,31.30,4.00,0.132,0.015,1,1,0.318,0.186
1,32,30.19,3.93,0.106,0.015,1,1,0.325,0.219
1,27,27.64,3.56,0.079,0.014,1,1,0.345,0.265
1,31,29.66,3.84,0.106,0.015,1,1,0.331,0.225
1,28,28.12,3.70,0.079,0.014,1,1,0.338,0.258
1,29,28.62,3.75,0.093,0.015,1,1,0.338,0.245
1,30,29.11,3.76,0.086,0.014,1,1,0.331,0.245
1,35,31.87,3.98,0.139,0.015,1,1,0.311,0.172
1,38,33.66,4.68,0.232,0.034,1,1,0.265,0.033
1,37,33.06,4.37,0.185,0.033,1,1,0.272,0.086
1,39,34.29,4.70,0.245,0.034,1,1,0.265,0.020
1,40,34.93,4.92,0.265,0.036,1,0,0.265,0.000
1,36,32.46,3.93,0.146,0.014,1,1,0.298,0.152
1,41,35.58,4.93,0.265,0.036,1,0,0.265,0.000
1,42,36.24,4.93,0.265,0.035,1,0,0.265,0.000
1,44,37.61,4.96,0.265,0.035,1,0,0.265,0.000
1,53,44.22,4.97,0.265,0.035,1,0,0.265,0.000
1,47,39.73,4.92,0.265,0.036,1,0,0.265,0.000
1,49,41.19,4.95,0.265,0.036,1,0,0.265,0.000
1,51,42.69,4.89,0.265,0.035,1,0,0.265,0.000
1,48,40.46,4.94,0.265,0.035,1,0,0.265,0.000
1,50,41.94,4.93,0.265,0.035,1,0,0.265,0.000
1,45,38.30,4.99,0.265,0.036,1,0,0.265,0.000
1,46,39.01,4.89,0.265,0.035,1,0,0.265,0.000
1,55,45.77,4.94,0.265,0.036,1,0,0.265,0.000
1,43,36.92,4.92,0.265,0.035,1,0,0.265,0.000
1,54,44.99,4.97,0.265,0.036,1,0,0.265,0.000
1,52,43.45,4.92,0.265,0.035,1,0,0.265,0.000
1,57,47.34,4.93,0.265,0.035,1,0,0.265,0.000
1,59,48.91,4.92,0.265,0.035,1,0,0.265,0.000
1,58,48.12,4.91,0.265,0.035,1,0,0.265,0.000
1,61,50.49,4.93,0.265,0.035,1,0,0.265,0.000
1,56,46.56,4.89,0.265,0.035,1,0,0.265,0.000
1,62,51.28,4.81,0.265,0.035,1,0,0.265,0.000
1,60,49.70,4.94,0.265,0.035,1,0,0.265,0.000
1,69,56.72,4.92,0.265,0.035,1,0,0.265,0.000
1,68,55.96,4.93,0.265,0.035,1,0,0.265,0.000
1,63,52.06,4.93,0.265,0.035,1,0,0.265,0.000
1,64,52.85,4.93,0.265,0.035,1,0,0.265,0.000
1,66,54.41,4.90,0.265,0.035,1,0,0.265,0.000
1,70,57.48,4.90,0.265,0.035,1,0,0.265,0.000
1,67,55.18,4.92,0.265,0.035,1,0,0.265,0.000
1,65,53.63,4.90,0.265,0.035,1,0,0.265,0.000
1,73,59.72,4.89,0.265,0.035,1,0,0.265,0.000
1,74,60.45,4.96,0.265,0.035,1,0,0.265,0.000
1,75,61.18,4.90,0.265,0.036,1,0,0.265,0.000
1,72,58.98,4.92,0.265,0.035,1,0,0.265,0.000
1,71,58.23,4.91,0.265,0.035,1,0,0.265,0.000
1,76,61.90,4.92,0.265,0.035,1,0,0.265,0.000
1,77,62.61,4.88,0.265,0.036,1,0,0.265,0.000
1,79,63.99,4.87,0.265,0.035,0,1,0.265,0.000
1,78,63.30,4.92,0.265,0.035,1,0,0.265,0.000
1,81,65.39,6.50,0.265,0.044,1,0,0.265,0.000
1,80,64.70,6.38,0.265,0.043,1,0,0.265,0.000
1,82,66.06,6.63,0.265,0.044,1,2,0.265,0.000
2,0,16.47,0.00,0.000,0.000,0,0,0.000,0.000
1,83,66.72,6.71,0.265,0.044,1,2,0.265,0.000
1,86,68.67,7.11,0.265,0.044,1,2,0.265,0.000
1,87,69.30,7.35,0.265,0.044,1,2,0.265,0.000
1,84,67.38,6.83,0.265,0.044,1,2,0.265,0.000
1,85,68.03,6.93,0.265,0.044,1,2,0.265,0.000
1,89,70.54,7.81,0.265,0.044,1,2,0.265,0.000
1,88,69.93,7.50,0.265,0.044,1,2,0.265,0.000
1,90,71.15,7.68,0.265,0.044,1,2,0.265,0.000
1,91,71.75,7.75,0.265,0.044,1,2,0.265,0.000
2,1,16.73,2.14,0.026,0.006,1,1,0.378,0.351
2,2,16.98,3.11,0.060,0.011,1,1,0.391,0.331
2,3,17.24,2.07,0.033,0.008,1,1,0.384,0.351
2,4,17.51,2.19,0.033,0.008,1,1,0.384,0.351
2,7,18.35,1.95,0.033,0.007,1,1,0.378,0.345
2,5,17.78,2.05,0.033,0.008,1,1,0.378,0.345
